Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Buynow Process for Disabled full,Chrome 73.0.3683.86,,2019-04-08 18:35:48,2019-04-08 18:36:50,1m - 1.452s,FAILED
,,,,,,
Test Cases/Buynow Process/Buynow for Disabled country,Chrome 73.0.3683.86,,2019-04-08 18:35:49,2019-04-08 18:35:58,9.156s,PASSED
"comment(""Buynow for Disabled Full "")",Chrome 73.0.3683.86,,2019-04-08 18:35:49,2019-04-08 18:35:49,0.137s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,Opening Browser,2019-04-08 18:35:49,2019-04-08 18:35:53,3.510s,PASSED
"navigateToUrl(""http://192.168.0.28:90/list"")",Chrome 73.0.3683.86,Navigate to MCCC URL,2019-04-08 18:35:53,2019-04-08 18:35:54,1.499s,PASSED
"scrollToElement(findTestObject(""URL Verifications/Buynow disabled country URL/Disabled country BUY NOW button""), 0)",Chrome 73.0.3683.86,Scroll upto disabled full button,2019-04-08 18:35:54,2019-04-08 18:35:54,0.082s,PASSED
"click(findTestObject(""URL Verifications/Buynow disabled country URL/Disabled country BUY NOW button""))",Chrome 73.0.3683.86,Click on Disabled full button,2019-04-08 18:35:54,2019-04-08 18:35:55,0.713s,PASSED
"quantitytotal = getNumberOfTotalOption(findTestObject(""Buynow process/Buynow for premium/Page_PREMIER/select quantity""))",Chrome 73.0.3683.86,Get total options in Quantity dropdown and store it in variable (quantitytotal),2019-04-08 18:35:55,2019-04-08 18:35:55,0.109s,PASSED
rad = new java.util.Random(),Chrome 73.0.3683.86,Random selection,2019-04-08 18:35:55,2019-04-08 18:35:55,0.003s,PASSED
quantity = 1 + rad.nextInt(quantitytotal - 1),Chrome 73.0.3683.86,,2019-04-08 18:35:55,2019-04-08 18:35:55,0.004s,PASSED
"selectOptionByIndex(findTestObject(""Buynow process/Buynow for premium/Page_PREMIER/select quantity""), quantity)",Chrome 73.0.3683.86,Select Quantity from dropdown randomly,2019-04-08 18:35:55,2019-04-08 18:35:55,0.244s,PASSED
"Totalquantity1 = getAttribute(findTestObject(""Buynow process/Buynow for premium/Page_PREMIER/select quantity""), ""value"")",Chrome 73.0.3683.86,Get qunatity from Membership page,2019-04-08 18:35:55,2019-04-08 18:35:55,0.055s,PASSED
"click(findTestObject(""Buynow process/Buynow for premium/Page_PREMIER/Add to Basket button""))",Chrome 73.0.3683.86,Click on add to basket button,2019-04-08 18:35:55,2019-04-08 18:35:55,0.118s,PASSED
