Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Buynow Process for Disabled full,Chrome 73.0.3683.86,,2019-04-08 18:29:53,2019-04-08 18:31:23,1m - 29.256s,FAILED
,,,,,,
Test Cases/Buynow Process/Buynow for Disabled country,Chrome 73.0.3683.86,,2019-04-08 18:29:54,2019-04-08 18:30:04,10.335s,PASSED
"comment(""Buynow for Disabled Full "")",Chrome 73.0.3683.86,,2019-04-08 18:29:54,2019-04-08 18:29:54,0.143s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,Opening Browser,2019-04-08 18:29:54,2019-04-08 18:29:58,3.934s,PASSED
"navigateToUrl(""http://192.168.0.28:90/list"")",Chrome 73.0.3683.86,Navigate to MCCC URL,2019-04-08 18:29:58,2019-04-08 18:30:00,1.994s,PASSED
"scrollToElement(findTestObject(""URL Verifications/Buynow disabled country URL/Disabled country BUY NOW button""), 0)",Chrome 73.0.3683.86,Scroll upto disabled full button,2019-04-08 18:30:00,2019-04-08 18:30:00,0.117s,PASSED
"click(findTestObject(""URL Verifications/Buynow disabled country URL/Disabled country BUY NOW button""))",Chrome 73.0.3683.86,Click on Disabled full button,2019-04-08 18:30:00,2019-04-08 18:30:01,0.659s,PASSED
"quantitytotal = getNumberOfTotalOption(findTestObject(""Buynow process/Buynow for premium/Page_PREMIER/select quantity""))",Chrome 73.0.3683.86,Get total options in Quantity dropdown and store it in variable (quantitytotal),2019-04-08 18:30:01,2019-04-08 18:30:01,0.124s,PASSED
rad = new java.util.Random(),Chrome 73.0.3683.86,Random selection,2019-04-08 18:30:01,2019-04-08 18:30:01,0.006s,PASSED
quantity = 1 + rad.nextInt(quantitytotal - 1),Chrome 73.0.3683.86,,2019-04-08 18:30:01,2019-04-08 18:30:01,0.005s,PASSED
"selectOptionByIndex(findTestObject(""Buynow process/Buynow for premium/Page_PREMIER/select quantity""), quantity)",Chrome 73.0.3683.86,Select Quantity from dropdown randomly,2019-04-08 18:30:01,2019-04-08 18:30:01,0.185s,PASSED
"Totalquantity1 = getAttribute(findTestObject(""Buynow process/Buynow for premium/Page_PREMIER/select quantity""), ""value"")",Chrome 73.0.3683.86,Get qunatity from Membership page,2019-04-08 18:30:01,2019-04-08 18:30:01,0.049s,PASSED
