Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Buynow Process for Disabled full,Chrome 73.0.3683.86,,2019-04-09 11:48:15,2019-04-09 11:49:01,46.031s,FAILED
,,,,,,
Test Cases/Buynow Process/Buynow for Disabled country,Chrome 73.0.3683.86,,2019-04-09 11:48:15,2019-04-09 11:48:26,11.036s,PASSED
"comment(""Buynow for Disabled Full "")",Chrome 73.0.3683.86,,2019-04-09 11:48:16,2019-04-09 11:48:16,0.157s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,Opening Browser,2019-04-09 11:48:16,2019-04-09 11:48:21,5.453s,PASSED
"navigateToUrl(""http://192.168.0.28:90/list"")",Chrome 73.0.3683.86,Navigate to MCCC URL,2019-04-09 11:48:21,2019-04-09 11:48:23,2.033s,PASSED
"scrollToElement(findTestObject(""URL Verifications/Buynow disabled country URL/Disabled country BUY NOW button""), 0)",Chrome 73.0.3683.86,Scroll upto disabled full button,2019-04-09 11:48:23,2019-04-09 11:48:23,0.131s,PASSED
"click(findTestObject(""URL Verifications/Buynow disabled country URL/Disabled country BUY NOW button""))",Chrome 73.0.3683.86,Click on Disabled full button,2019-04-09 11:48:23,2019-04-09 11:48:24,0.780s,PASSED
"quantitytotal = getNumberOfTotalOption(findTestObject(""Buynow process/Buynow for premium/Page_PREMIER/select quantity""))",Chrome 73.0.3683.86,Get total options in Quantity dropdown and store it in variable (quantitytotal),2019-04-09 11:48:24,2019-04-09 11:48:24,0.137s,PASSED
rad = new java.util.Random(),Chrome 73.0.3683.86,Random selection,2019-04-09 11:48:24,2019-04-09 11:48:24,0.004s,PASSED
quantity = 1 + rad.nextInt(quantitytotal - 1),Chrome 73.0.3683.86,,2019-04-09 11:48:24,2019-04-09 11:48:24,0.011s,PASSED
"selectOptionByIndex(findTestObject(""Buynow process/Buynow for premium/Page_PREMIER/select quantity""), quantity)",Chrome 73.0.3683.86,Select Quantity from dropdown randomly,2019-04-09 11:48:24,2019-04-09 11:48:25,0.273s,PASSED
